Player,Team,Pos,Gls_p90,Ast_p90,G+A_p90,PosGroup,Is_Attacker,Is_Defender
Opponent Total,Besiktas,NAN,,0.67,,NAN,False,False
Robin Yalçın,Eyupspor,DF,0.0,0.0,0.0,DF,False,True
Kerem Demirbay,Eyupspor,MF,0.0,0.0,0.0,MF,True,True
Marcos Felipe,Eyupspor,GK,0.0,0.0,0.0,GK,False,False
Nihad Mujakić,Eyupspor,DF,0.0,0.0,0.0,DF,False,True
Luccas Claro,Eyupspor,DF,0.0,0.0,0.0,DF,False,True
Serdar Gürler,Eyupspor,"MF,FW",0.0,0.0,0.0,MF,True,True
Lucas Calegari,Eyupspor,"DF,MF",0.0,0.12,0.12,DF,False,True
Yalçın Kayan,Eyupspor,MF,0.0,0.27,0.27,MF,True,True
Mame Baba Thiam,Eyupspor,FW,0.24,0.0,0.24,FW,True,False
Denis Drăguș,Eyupspor,"MF,FW",0.0,0.0,0.0,MF,True,True
Svit Sešlar,Eyupspor,"MF,FW",0.17,0.17,0.35,MF,True,True
Halil Akbunar,Eyupspor,"MF,FW",0.22,0.0,0.22,MF,True,True
Umut Meraş,Eyupspor,"DF,MF",0.0,0.0,0.0,DF,False,True
Mateusz Łęgowski,Eyupspor,MF,0.0,0.26,0.26,MF,True,True
Prince Obeng Ampem,Eyupspor,MF,0.23,0.0,0.23,MF,True,True
Umut Bozok,Eyupspor,FW,0.34,0.0,0.34,FW,True,False
Emre Akbaba,Eyupspor,MF,0.0,0.0,0.0,MF,True,True
Melih Kabasakal,Eyupspor,MF,0.0,0.0,0.0,MF,True,True
Berke Özer,Eyupspor,GK,0.0,0.0,0.0,GK,False,False
Talha Ulvan,Eyupspor,DF,0.0,0.0,0.0,DF,False,True
Taras Stepanenko,Eyupspor,MF,0.0,0.0,0.0,MF,True,True
Ilter Tashkin,Eyupspor,MF,0.0,0.0,0.0,MF,True,True
Emir Ortakaya,Eyupspor,DF,0.0,0.0,0.0,DF,False,True
